name,parent,value
Coffee,,
Africa,Coffee,
Cote d'Ivoire,Africa,2294
Congo,Africa,361
Uganda,Africa,4704
Ethiopia,Africa,7776
Tanzania,Africa,1175
Madagascar,Africa,396
Kenya,Africa,930
Asia,Coffee,
Latin America,Coffee,
Brazil,Latin America,62925
Ecuador,Latin America,601
Dominican Republic,Latin America,431
Haiti,Latin America,347
Colombia,Latin America,13858
Costa Rica,Latin America,1427
El Salvador,Latin America,761
Peru,Latin America,4263
Guatemala,Latin America,4007
Honduras,Latin America,7328
Mexico,Latin America,4351
Nicaragua,Latin America,2510
Venezuela,Latin America,525
Indonesia,Asia,9418
Papua New Guinea,Asia,930
India,Asia,5302
Lao,Asia,503
Thailand,Asia,482
Viet Nam,Asia,31174
